# f_Im	Avg_Infected_Fraction
0.0000	0.286175
0.0500	0.257628
0.1000	0.233106
0.1500	0.210964
0.2000	0.188336
0.2500	0.158171
0.3000	0.112229
0.3500	0.060529
0.4000	0.045122
0.4500	0.005546
0.5000	0.000039
0.5500	0.000000
0.6000	0.000000
0.6500	0.000000
0.7000	0.000000
0.7500	0.000000
0.8000	0.000000
0.8500	0.000000
0.9000	0.000000
0.9500	0.000000
1.0000	0.000000
