# f_Im	Avg_Infected_Fraction
0.0000	0.275716
0.0500	0.251509
0.1000	0.223691
0.1500	0.195766
0.2000	0.167263
0.2500	0.137697
0.3000	0.078503
0.3500	0.060709
0.4000	0.006172
0.4500	0.000000
0.5000	0.000000
0.5500	0.000000
0.6000	0.000000
0.6500	0.000000
0.7000	0.000000
0.7500	0.000000
0.8000	0.000000
0.8500	0.000000
0.9000	0.000000
0.9500	0.000000
1.0000	0.000000
