r,phi,E_mag
9.9499,0.004335,0.000757
9.9499,0.004320,0.000758
9.9499,0.004339,0.000762
9.9499,0.004331,0.000757
9.9499,0.004332,0.000762
9.9499,0.004326,0.000757
9.9499,0.004333,0.000762
9.9499,0.004339,0.000762
9.9499,0.004333,0.000762
9.9499,0.004332,0.000762
9.9499,0.004333,0.000762
9.9499,0.004324,0.000758
9.9499,0.004331,0.000771
9.9499,0.004347,0.000769
9.9499,0.004345,0.000769
9.9499,0.004326,0.000763
9.9499,0.004320,0.000758
9.9499,0.004324,0.000758
9.9499,0.004334,0.000771
9.9499,0.004339,0.000762
9.9499,0.004325,0.000763
9.9499,0.004342,0.000769
9.9499,0.004332,0.000762
9.9499,0.004326,0.000763
9.9499,0.004333,0.000762
9.9499,0.004324,0.000758
9.9499,0.004328,0.000758
9.9499,0.004332,0.000762
9.9499,0.004345,0.000769
9.9499,0.004332,0.000762
9.9499,0.004334,0.000771
9.9499,0.004326,0.000757
9.9499,0.004334,0.000771
9.9499,0.004336,0.000770
9.9499,0.004334,0.000771
9.9499,0.004339,0.000762
9.9499,0.004333,0.000762
9.9499,0.004331,0.000771
9.9499,0.004342,0.000769
9.9499,0.004331,0.000771
9.9499,0.004334,0.000771
9.9499,0.004333,0.000762
9.9499,0.004326,0.000763
9.9499,0.004342,0.000769
9.9499,0.004345,0.000769
9.9499,0.004339,0.000762
9.9499,0.004332,0.000762
9.9499,0.004325,0.000763
9.9499,0.004345,0.000769
9.9499,0.004320,0.000758
9.9499,0.004334,0.000771
9.9499,0.004336,0.000770
9.9499,0.004335,0.000757
9.9499,0.004331,0.000757
9.9499,0.004335,0.000757
9.9499,0.004328,0.000758
9.9499,0.004331,0.000757
9.9499,0.004324,0.000758
9.9499,0.004328,0.000758
9.9499,0.004345,0.000769
9.9499,0.004324,0.000758
9.9499,0.004331,0.000757
9.9499,0.004326,0.000757
9.9499,0.004336,0.000770
9.9499,0.004331,0.000757
9.9499,0.004347,0.000769
9.9499,0.004345,0.000769
9.9499,0.004347,0.000769
9.9499,0.004324,0.000758
9.9499,0.004325,0.000763
