dx,dt,stable
0.4,0.001,0
0.47241379310344833,0.001,1
0.5448275862068965,0.001,1
0.6172413793103448,0.001,1
0.47241379310344833,0.0051034482758620684,0
0.5448275862068965,0.0051034482758620684,0
0.6172413793103448,0.0051034482758620684,0
0.6896551724137931,0.0051034482758620684,1
0.6896551724137931,0.009206896551724138,0
0.7620689655172415,0.009206896551724138,1
0.7620689655172415,0.013310344827586206,0
0.8344827586206898,0.013310344827586206,1
0.8344827586206898,0.017413793103448275,0
0.906896551724138,0.017413793103448275,1
0.8344827586206898,0.021517241379310343,0
0.906896551724138,0.021517241379310343,1
0.906896551724138,0.02562068965517241,0
0.9793103448275863,0.02562068965517241,1
0.906896551724138,0.02972413793103448,0
0.9793103448275863,0.02972413793103448,1
0.9793103448275863,0.03382758620689655,0
1.0517241379310347,0.03382758620689655,1
0.9793103448275863,0.03793103448275861,0
1.0517241379310347,0.03793103448275861,1
0.9793103448275863,0.042034482758620685,0
1.0517241379310347,0.042034482758620685,1
1.0517241379310347,0.04613793103448276,0
1.124137931034483,0.04613793103448276,1
1.0517241379310347,0.05024137931034482,0
1.124137931034483,0.05024137931034482,1
1.0517241379310347,0.05434482758620689,0
1.124137931034483,0.05434482758620689,1
1.0517241379310347,0.05844827586206896,0
1.124137931034483,0.05844827586206896,1
1.124137931034483,0.06255172413793103,0
1.196551724137931,0.06255172413793103,1
1.124137931034483,0.0666551724137931,0
1.196551724137931,0.0666551724137931,1
1.124137931034483,0.07075862068965516,0
1.196551724137931,0.07075862068965516,1
1.124137931034483,0.07486206896551723,0
1.196551724137931,0.07486206896551723,1
1.196551724137931,0.0789655172413793,0
1.2689655172413794,0.0789655172413793,1
1.196551724137931,0.08306896551724137,0
1.2689655172413794,0.08306896551724137,1
1.196551724137931,0.08717241379310343,0
1.2689655172413794,0.08717241379310343,1
1.196551724137931,0.09127586206896551,0
1.2689655172413794,0.09127586206896551,1
1.196551724137931,0.09537931034482758,0
1.2689655172413794,0.09537931034482758,1
1.2689655172413794,0.09948275862068964,0
1.3413793103448277,0.09948275862068964,1
1.2689655172413794,0.10358620689655171,0
1.3413793103448277,0.10358620689655171,1
1.2689655172413794,0.10768965517241377,0
1.3413793103448277,0.10768965517241377,1
1.2689655172413794,0.11179310344827585,0
1.3413793103448277,0.11179310344827585,1
1.2689655172413794,0.11589655172413792,0
1.3413793103448277,0.11589655172413792,1
1.3413793103448277,0.12,0
1.4137931034482758,0.12,1
